epoch,step,loss,temp,lr,w_mean,w_low_pct,w_high_pct
1,20,0.30111855268478394,14.285715103149414,5e-06,0.4983856976032257,6.25,0.0
1,40,0.2931460440158844,14.285715103149414,5e-06,0.4991234540939331,6.25,0.0
1,60,0.18532174825668335,14.285715103149414,5e-06,0.49885067343711853,6.25,0.0
1,80,0.3039921224117279,14.285715103149414,5e-06,0.4994761049747467,6.25,0.0
1,100,0.17314966022968292,14.285715103149414,5e-06,0.4998079240322113,6.25,0.0
1,120,0.22222153842449188,14.285715103149414,5e-06,0.500075101852417,6.25,0.0
1,140,0.24726490676403046,14.285715103149414,5e-06,0.5002100467681885,6.25,0.0
1,160,0.11018583178520203,14.285715103149414,5e-06,0.5002809166908264,6.25,0.0
1,180,0.13803577423095703,14.285715103149414,5e-06,0.5002502202987671,6.25,0.0
1,200,0.11262156069278717,14.285715103149414,5e-06,0.5002168416976929,6.25,0.0
1,220,0.1125054806470871,14.285715103149414,5e-06,0.5005510449409485,6.25,0.0
1,240,0.21055373549461365,14.285715103149414,5e-06,0.5004940629005432,6.25,0.0
1,260,0.10276050865650177,14.285715103149414,5e-06,0.500681459903717,6.25,0.0
1,280,0.2564176917076111,14.285715103149414,5e-06,0.500629723072052,6.25,0.0
1,300,0.22268128395080566,14.285715103149414,5e-06,0.5002272725105286,6.25,0.0
1,320,0.048049196600914,14.285715103149414,5e-06,0.5003530383110046,6.25,0.0
1,340,0.20001226663589478,14.285715103149414,5e-06,0.5002881288528442,6.25,0.0
1,360,0.09364019334316254,14.285715103149414,5e-06,0.5002638697624207,6.25,0.0
1,380,0.028447821736335754,14.285715103149414,5e-06,0.5006042122840881,6.25,0.0
1,400,0.05902501940727234,14.285715103149414,5e-06,0.5008212924003601,6.25,0.0
1,420,0.1673273742198944,14.285715103149414,5e-06,0.5007376670837402,6.25,0.0
1,440,0.38268613815307617,14.285715103149414,5e-06,0.5006760954856873,6.25,0.0
1,460,0.19301024079322815,14.285715103149414,5e-06,0.5001437664031982,6.25,0.0
1,480,0.053675517439842224,14.285715103149414,5e-06,0.5008329749107361,6.25,0.0
1,500,0.12236964702606201,14.285715103149414,5e-06,0.5006055235862732,6.25,0.0
1,520,0.05939534306526184,14.285715103149414,5e-06,0.5009458661079407,6.25,0.0
1,540,0.12475946545600891,14.285715103149414,5e-06,0.5005854964256287,6.25,0.0
1,560,0.1849481612443924,14.285715103149414,5e-06,0.5002535581588745,6.25,0.0
1,580,0.06892462074756622,14.285715103149414,5e-06,0.5003411173820496,6.25,0.0
1,600,0.1032305657863617,14.285715103149414,5e-06,0.5006614923477173,6.25,0.0
1,620,0.17445415258407593,14.285715103149414,5e-06,0.5005404353141785,6.25,0.0
1,640,0.0829346776008606,14.285715103149414,5e-06,0.5005270838737488,6.25,0.0
1,660,0.1440107524394989,14.285715103149414,5e-06,0.5002164840698242,6.25,0.0
1,680,0.07126231491565704,14.285715103149414,5e-06,0.5006442666053772,6.25,0.0
1,700,0.0859856903553009,14.285715103149414,5e-06,0.5007840991020203,6.25,0.0
1,720,0.18390414118766785,14.285715103149414,5e-06,0.5005345940589905,6.25,0.0
1,740,0.14274105429649353,14.285715103149414,5e-06,0.5008639097213745,6.25,0.0
1,760,0.07090698182582855,14.285715103149414,5e-06,0.5003843307495117,6.25,0.0
1,780,0.07620450854301453,14.285715103149414,5e-06,0.5004909634590149,6.25,0.0
1,800,0.10367374122142792,14.285715103149414,5e-06,0.5010201334953308,6.25,0.0
